date,category,description,amount,type
2024-01-05,Food,Supermarket REWE,45.30,expense
2024-01-08,Transport,Monthly U-Bahn ticket,86.00,expense
2024-01-10,Housing,Rent January,750.00,expense
2024-01-12,Food,Restaurant with friends,32.50,expense
2024-01-15,Income,Salary January,1800.00,income
2024-01-18,Entertainment,Cinema ticket,12.00,expense
2024-01-20,Food,Bakery,4.80,expense
2024-01-22,Health,Pharmacy,18.90,expense
2024-01-25,Food,Supermarket Lidl,38.20,expense
2024-01-28,Entertainment,Spotify Premium,9.99,expense
2024-01-30,Savings,Emergency fund transfer,200.00,expense
2024-02-01,Food,Supermarket REWE,52.10,expense
2024-02-03,Transport,Monthly U-Bahn ticket,86.00,expense
2024-02-05,Housing,Rent February,750.00,expense
2024-02-08,Food,Restaurant lunch,14.50,expense
2024-02-10,Income,Salary February,1800.00,income
2024-02-12,Entertainment,Book purchase,21.00,expense
2024-02-15,Health,Gym membership,29.90,expense
2024-02-18,Food,Supermarket Aldi,41.30,expense
2024-02-20,Transport,Train ticket weekend,22.00,expense
2024-02-22,Entertainment,Netflix,15.99,expense
2024-02-25,Food,Bakery,6.40,expense
2024-02-28,Savings,Emergency fund transfer,200.00,expense
2024-03-01,Food,Supermarket REWE,48.70,expense
2024-03-05,Transport,Monthly U-Bahn ticket,86.00,expense
2024-03-08,Housing,Rent March,750.00,expense
2024-03-10,Income,Salary March,1800.00,income
2024-03-12,Income,Freelance project,350.00,income
2024-03-15,Food,Restaurant dinner,45.00,expense
2024-03-18,Health,Dentist appointment,80.00,expense
2024-03-20,Entertainment,Concert ticket,55.00,expense
2024-03-22,Food,Supermarket Lidl,36.90,expense
2024-03-25,Transport,Taxi,18.50,expense
2024-03-28,Savings,Emergency fund transfer,300.00,expense
2024-03-30,Entertainment,Spotify Premium,9.99,expense
